date,horizon,rate,n
20120125,2012,0.25,14
20120125,2013,0.25,11
20120125,2014,0.25,6
20120125,2012,0.5,1
20120125,2013,0.5,1
20120125,2014,0.5,2
20120125,2013,0.75,2
20120125,2014,0.75,1
20120125,2012,1.0,2
20120125,2013,1.0,1
20120125,2014,1.0,2
20120125,2014,1.5,1
20120125,2013,1.75,1
20120125,2013,2.0,1
20120125,2014,2.0,1
20120125,2014,2.5,3
20120125,2014,2.75,1
20120125,longer_run,3.75,1
20120125,longer_run,4.0,7
20120125,longer_run,4.25,3
20120125,longer_run,4.5,6
20120425,2012,0.25,14
20120425,2013,0.25,11
20120425,2014,0.25,4
20120425,2012,0.5,1
20120425,2014,0.5,3
20120425,2013,0.75,1
20120425,2012,1.0,1
20120425,2013,1.0,2
20120425,2014,1.0,2
20120425,2012,1.25,1
20120425,2013,1.25,1
20120425,2014,1.5,1
20120425,2013,1.75,2
20120425,2014,2.0,2
20120425,2014,2.25,1
20120425,2014,2.5,3
20120425,2014,2.75,1
20120425,longer_run,3.5,1
20120425,longer_run,3.75,1
20120425,longer_run,4.0,6
20120425,longer_run,4.25,2
20120425,longer_run,4.5,7
20120620,2012,0.25,16
20120620,2013,0.25,13
20120620,2014,0.25,6
20120620,2012,0.5,2
20120620,2013,0.5,1
20120620,2014,0.5,4
20120620,2012,0.75,1
20120620,2013,0.75,1
20120620,2014,0.75,1
20120620,2013,1.0,1
20120620,2013,1.25,2
20120620,2014,1.5,2
20120620,2013,1.75,1
20120620,2014,1.75,2
20120620,2014,2.0,1
20120620,2014,2.5,1
20120620,2014,2.75,1
20120620,2014,3.0,1
20120620,longer_run,3.0,1
20120620,longer_run,3.5,1
20120620,longer_run,3.75,1
20120620,longer_run,4.0,6
20120620,longer_run,4.25,5
20120620,longer_run,4.5,5
20120913,2012,0.25,18
20120913,2013,0.25,15
20120913,2014,0.25,13
20120913,2015,0.25,1
20120913,2012,0.5,1
20120913,2013,0.5,2
20120913,2015,0.5,2
20120913,2013,0.75,1
20120913,2015,0.75,3
20120913,2015,1.0,4
20120913,2014,1.5,2
20120913,2015,1.5,3
20120913,2013,1.75,1
20120913,2014,1.75,2
20120913,2014,2.5,1
20120913,2015,2.5,2
20120913,2014,3.0,1
20120913,longer_run,3.0,1
20120913,2015,3.5,1
20120913,longer_run,3.5,1
20120913,2015,3.75,1
20120913,longer_run,3.75,2
20120913,2015,4.0,1
20120913,longer_run,4.0,6
20120913,longer_run,4.25,5
20120913,2015,4.5,1
20120913,longer_run,4.5,4
20121212,2012,0.25,19
20121212,2013,0.25,17
