date,horizon,n,median,mean,min,max,mode
20120125,2012,17,0.25,0.353,0.25,1.0,0.25
20120125,2013,17,0.25,0.559,0.25,2.0,0.25
20120125,2014,17,0.75,1.118,0.25,2.75,0.25
20120125,longer_run,17,4.25,4.206,3.75,4.5,4.0
20120425,2012,17,0.25,0.368,0.25,1.25,0.25
20120425,2013,17,0.25,0.603,0.25,1.75,0.25
20120425,2014,17,1.0,1.324,0.25,2.75,0.25
20120425,longer_run,17,4.25,4.191,3.5,4.5,4.5
20120620,2012,19,0.25,0.303,0.25,0.75,0.25
20120620,2013,19,0.25,0.513,0.25,1.75,0.25
20120620,2014,19,0.5,1.105,0.25,3.0,0.25
20120620,longer_run,19,4.25,4.105,3.0,4.5,4.0
20120913,2012,19,0.25,0.263,0.25,0.5,0.25
20120913,2013,19,0.25,0.382,0.25,1.75,0.25
20120913,2014,19,0.25,0.803,0.25,3.0,0.25
20120913,2015,19,1.0,1.724,0.25,4.5,1.0
20120913,longer_run,19,4.0,4.066,3.0,4.5,4.0
20121212,2012,19,0.25,0.25,0.25,0.25,0.25
20121212,2013,19,0.25,0.303,0.25,1.0,0.25
20121212,2014,19,0.25,0.605,0.25,2.75,0.25
20121212,2015,19,1.0,1.408,0.25,4.5,0.5
20121212,longer_run,19,4.0,4.039,3.0,4.5,4.25
20130320,2013,19,0.25,0.289,0.25,1.0,0.25
20130320,2014,19,0.25,0.553,0.25,2.75,0.25
20130320,2015,19,1.0,1.303,0.25,4.5,0.5
20130320,longer_run,19,4.0,4.013,3.25,4.5,4.0
20130619,2013,19,0.25,0.263,0.25,0.5,0.25
20130619,2014,19,0.25,0.434,0.25,1.5,0.25
20130619,2015,19,1.0,1.342,0.25,3.0,1.0
20130619,longer_run,19,4.0,4.013,3.25,4.5,4.0
20130918,2013,17,0.25,0.25,0.25,0.25,0.25
20130918,2014,17,0.25,0.397,0.25,1.25,0.25
20130918,2015,17,1.0,1.25,0.25,3.25,0.75
20130918,2016,17,2.0,2.265,0.5,4.25,1.75
20130918,longer_run,17,4.0,3.926,3.25,4.25,4.0
20131218,2013,17,0.25,0.25,0.25,0.25,0.25
20131218,2014,17,0.25,0.338,0.25,1.25,0.25
20131218,2015,17,0.75,1.059,0.25,3.25,0.75
20131218,2016,17,1.75,2.176,0.5,4.25,1.75
20131218,longer_run,17,4.0,3.882,3.5,4.25,4.0
20140319,2014,16,0.25,0.297,0.25,1.0,0.25
20140319,2015,16,1.0,1.125,0.25,3.0,1.0
20140319,2016,16,2.25,2.422,0.75,4.25,2.0
20140319,longer_run,16,4.0,3.875,3.5,4.25,4.0
20140618,2014,16,0.25,0.297,0.25,1.0,0.25
20140618,2015,16,1.125,1.203,0.25,3.0,0.25
20140618,2016,16,2.5,2.531,0.5,4.25,2.0
20140618,longer_run,16,3.75,3.781,3.25,4.25,3.75
20140917,2014,17,0.125,0.169,0.125,0.875,0.125
20140917,2015,17,1.375,1.272,0.125,2.875,1.875
20140917,2016,17,2.875,2.684,0.375,4.0,3.875
20140917,2017,17,3.75,3.544,2.0,4.375,3.125
20140917,longer_run,17,3.75,3.794,3.25,4.25,3.75
20141217,2014,17,0.125,0.125,0.125,0.125,0.125
20141217,2015,17,1.125,1.125,0.125,1.875,0.875
20141217,2016,17,2.5,2.537,0.375,4.0,2.125
20141217,2017,17,3.625,3.5,2.0,4.25,3.75
20141217,longer_run,17,3.75,3.779,3.25,4.25,3.75
20150318,2015,17,0.625,0.772,0.125,1.625,0.625
20150318,2016,17,1.875,2.022,0.375,3.75,1.625
20150318,2017,17,3.125,3.184,2.0,4.0,3.125
20150318,longer_run,17,3.75,3.662,3.0,4.25,3.5
20150617,2015,17,0.625,0.566,0.125,0.875,0.375
20150617,2016,17,1.625,1.75,0.375,2.875,1.375
